Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
3V3,TESTPOINT-TH_BD2.0-D1.0,40.51mm,47.63mm,40.51mm,47.63mm,40.51mm,47.63mm,T,0,P70-2200045
C1,C0603,19.56mm,46.99mm,19.56mm,46.99mm,18.86mm,46.99mm,T,0,10uF
C2,C0603,12.19mm,47.75mm,12.19mm,47.75mm,12.89mm,47.75mm,T,180,100nF
C3,C0603,32.89mm,62.10mm,32.89mm,62.10mm,32.19mm,62.10mm,T,0,20pF
C4,C0603,28.96mm,61.85mm,28.96mm,61.85mm,28.26mm,61.85mm,T,0,20pF
C5,C0603,24.51mm,46.99mm,24.51mm,46.99mm,23.81mm,46.99mm,T,0,10uF
C6,C0603,37.08mm,62.36mm,37.08mm,62.36mm,36.38mm,62.36mm,T,0,100nF
C7,C0603,38.99mm,55.75mm,38.99mm,55.75mm,38.29mm,55.75mm,T,0,100nF
C8,C0603,28.83mm,47.50mm,28.83mm,47.50mm,29.53mm,47.50mm,T,180,100nF
C9,C0603,22.61mm,61.72mm,22.61mm,61.72mm,23.31mm,61.72mm,T,180,1uF
D1,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,18.54mm,56.26mm,18.54mm,56.26mm,15.86mm,58.17mm,T,270,USB6B1RL_C7419953
GND,TESTPOINT-TH_BD2.0-D1.0,35.05mm,47.50mm,35.05mm,47.50mm,35.05mm,47.50mm,T,0,P70-2200045
LED1,LED0603-RD,46.23mm,60.07mm,46.23mm,60.07mm,45.48mm,60.07mm,T,0,FC-DA1608BK-470H10
R1,R0603,16.76mm,61.85mm,16.76mm,61.85mm,16.01mm,61.85mm,T,0,5.1kΩ
R2,R0603,12.07mm,61.85mm,12.07mm,61.85mm,11.31mm,61.85mm,T,0,5.1kΩ
R3,R0603,43.31mm,56.52mm,43.31mm,56.52mm,44.06mm,56.52mm,T,180,1kΩ
RESET,TESTPOINT-TH_BD2.0-D1.0,44.96mm,47.63mm,44.96mm,47.63mm,44.96mm,47.63mm,T,0,P70-2200045
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H2.5,49.91mm,54.74mm,49.91mm,54.74mm,48.06mm,51.74mm,T,90,TS-1187A-C-E-B
SWDCLK,TESTPOINT-TH_BD2.0-D1.0,49.02mm,47.75mm,49.02mm,47.75mm,49.02mm,47.75mm,T,0,P70-2200045
SWDIO,TESTPOINT-TH_BD2.0-D1.0,52.07mm,47.88mm,52.07mm,47.88mm,52.07mm,47.88mm,T,0,P70-2200045
U1,QFN-48_L6.0-W6.0-P0.40-TL-EP4.6,30.10mm,55.25mm,30.10mm,55.25mm,32.30mm,58.28mm,T,270,NRF52840-QFAA-R7
U2,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,22.73mm,50.80mm,22.73mm,50.80mm,21.78mm,49.50mm,T,0,AP2112K-3.3TRG1
USB1,USB-C-SMD_TYPE-C16PIN_C668624,9.14mm,54.77mm,9.14mm,54.77mm,10.93mm,59.09mm,T,270,TYPE-C 16P(073)
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,38.74mm,58.93mm,38.74mm,58.93mm,39.84mm,59.78mm,T,180,32MHz
